month,days,canton,companies,employees,followers,other legal forms,AG's,GmbH's,share of AG's,share of GmbH's,financial sector,IT sector,other sectors,share of financial sector,share of IT sector,taxes,working_population,treatment
2020-11-30,1765,ZH,35,1242,10298346967,2,17,16,0.4857142857142857,0.4571428571428571,16,14,5,0.4571428571428571,0.4,4356.0,980693.0,0.0
2020-11-30,1765,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,2800.5,316942.0,0.0
2020-12-31,1796,ZG,82,1620,203590589,6,57,19,0.6951219512195121,0.2317073170731707,34,34,12,0.4146341463414634,0.4146341463414634,2848.8,80234.0,0.0
2020-12-31,1796,ZH,36,1262,10298347451,2,18,16,0.5,0.4444444444444444,16,14,6,0.4444444444444444,0.3888888888888889,4356.0,980693.0,0.0
2020-12-31,1796,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,2800.5,316942.0,0.0
2021-01-31,1827,ZG,83,1620,203833140,6,58,19,0.6987951807228916,0.2289156626506024,35,34,12,0.4216867469879518,0.4096385542168674,2826.75,80641.0,1.0
2021-01-31,1827,ZH,36,1262,10298347451,2,18,16,0.5,0.4444444444444444,16,14,6,0.4444444444444444,0.3888888888888889,4072.0,984746.0,0.0
2021-01-31,1827,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,2867.3154375,317976.0,0.0
2021-02-28,1855,ZG,84,1621,203833141,6,58,20,0.6904761904761905,0.238095238095238,36,34,12,0.4285714285714285,0.4047619047619047,2826.75,80641.0,1.0
2021-02-28,1855,ZH,36,1262,10298347451,2,18,16,0.5,0.4444444444444444,16,14,6,0.4444444444444444,0.3888888888888889,4072.0,984746.0,0.0
2021-02-28,1855,GE,11,89,20678,2,3,6,0.2727272727272727,0.5454545454545454,5,2,4,0.4545454545454545,0.1818181818181818,2867.3154375,317976.0,0.0
