,month,canton,companies,tax burden,working population,share of financial sector,share of IT sector,treatment
411,2017-04-30,VD,1,4267.26,488905.0,0.0,1.0,0.0
412,2017-04-30,VS,0,2812.5,207639.0,,,0.0
413,2017-04-30,NE,0,3126.0,106567.0,,,0.0
414,2017-04-30,GE,0,4892.0,309359.0,,,0.0
415,2017-04-30,JU,0,4408.6,42657.0,,,0.0
416,2017-05-31,ZG,13,2361.0,79087.0,0.38,0.38,0.0
417,2017-05-31,ZH,8,4356.0,952121.0,0.25,0.62,0.0
418,2017-05-31,BE,0,3180.9,622668.0,,,0.0
419,2017-05-31,LU,0,2629.7,252896.0,,,0.0
420,2017-05-31,UR,0,2990.19,21656.0,,,0.0
421,2017-05-31,SZ,0,3063.45,99111.0,,,0.0
422,2017-05-31,OW,1,2726.3,23079.0,1.0,0.0,0.0
423,2017-05-31,NW,0,2541.0,26620.0,,,0.0
424,2017-05-31,GL,0,3362.0,24631.0,,,0.0
425,2017-05-31,FR,0,3103.05,195404.0,,,0.0
426,2017-05-31,SO,0,3273.2,167169.0,,,0.0
427,2017-05-31,BS,0,4857.0,122052.0,,,0.0
428,2017-05-31,BL,0,3542.0,169687.0,,,0.0
429,2017-05-31,SH,1,3364.0,48973.0,0.0,0.0,0.0
430,2017-05-31,AR,0,3390.0,33438.0,,,0.0
431,2017-05-31,AI,0,2838.0,9613.0,,,0.0
432,2017-05-31,SG,0,3476.0,309810.0,,,0.0
433,2017-05-31,GR,1,3602.0,120638.0,1.0,0.0,0.0
434,2017-05-31,AG,0,3021.2,418619.0,,,0.0
435,2017-05-31,TG,0,3286.0,170831.0,,,0.0
436,2017-05-31,TI,1,4365.42,210041.0,0.0,0.0,0.0
437,2017-05-31,VD,1,4267.26,488905.0,0.0,1.0,0.0
438,2017-05-31,VS,0,2812.5,207639.0,,,0.0
439,2017-05-31,NE,0,3126.0,106567.0,,,0.0
440,2017-05-31,GE,0,4892.0,309359.0,,,0.0
441,2017-05-31,JU,0,4408.6,42657.0,,,0.0
442,2017-06-30,ZG,16,2361.0,79087.0,0.44,0.38,0.0
443,2017-06-30,ZH,8,4356.0,952121.0,0.25,0.62,0.0
444,2017-06-30,BE,0,3180.9,622668.0,,,0.0
445,2017-06-30,LU,0,2629.7,252896.0,,,0.0
